Line,Limonene,Optical Density,AtoB,PMK,idi,MK,PMD,LS,GPPS,HMGR,HMGS,InducedOD,InducerLevel,PCAPpaper,Ecoli Strain
2X-Hh,71.05431,4.18,0.128,0.4947,0.997,0.1686,0.8337,3.8485,0.3746,0.1193,0.2126,H,h,y,2X
2X-Hl,2.46049,5.866,0.0219,0.3407,1.0516,0.2256,1.054,1.4751,0.0605,0.028,0.0429,H,l,y,2X
2X-Hm,52.13119,4.40867,0.0627,0.1899,0.9134,0.106,0.6176,2.8899,0.1837,0.0894,0.1721,H,m,y,2X
2X-Lh,53.6031,4.96467,0.2335,0.7463,2.3338,0.3196,1.745,9.1728,0.2534,0.6998,0.6607,L,h,y,2X
2X-Ll,5.98466,6.362,0.0457,0.4691,1.5995,0.2709,1.9367,3.0677,0.1423,0.0998,0.121,L,l,y,2X
2X-Lm,56.97134,4.87267,0.172,0.6213,2.5226,0.3043,1.6258,8.4749,0.2245,0.4305,0.4944,L,m,y,2X
2X-Mh,75.39261,4.192,0.2384,0.9413,3.1813,0.401,2.1936,11.2037,0.2968,0.7816,0.7488,M,h,y,2X
2X-Ml,5.17895,5.93,0.0375,0.3804,1.3483,0.2513,1.2888,2.3831,0.0853,0.0815,0.0896,M,l,y,2X
2X-Mm,101.2054,4.316,0.2231,0.7901,2.7354,0.3744,1.9592,9.2338,0.4335,0.5118,0.5409,M,m,y,2X
A-Hh,19.5082,4.69667,1.1002,0.9434,1.5637,0.3753,1.7236,3.4534,0.2948,1.6579,2.5927,H,h,y,A
A-Hl,18.16286,5.03733,0.8146,0.7214,1.7929,0.3488,1.818,2.7662,0.1568,1.5467,2.0862,H,l,y,A
A-Hm,19.72107,4.81667,0.9479,0.7748,1.6173,0.3497,1.7259,3.1119,0.2173,1.6963,2.4178,H,m,y,A
A-Lh,1.65513,5.778,0.845,0.4334,0.7143,0.0983,0.4215,4.2606,2.3296,2.1591,3.3589,L,h,y,A
A-Ll,15.23455,4.90733,1.0751,0.6607,2.0411,0.2554,1.639,3.667,0.1487,3.3586,4.3605,L,l,y,A
A-Lm,2.53969,6.112,1.0796,0.7008,1.2131,0.1909,0.6106,5.0924,2.7061,3.597,3.9671,L,m,y,A
A-Mh,7.9894,5.29333,1.5108,1.3905,1.3889,0.3536,1.1407,7.0333,4.5267,3.3262,4.4721,M,h,y,A
A-Ml,15.33663,4.886,1.2792,0.7648,2.0545,0.2986,1.8479,4.0326,0.4769,3.7169,4.0922,M,l,y,A
A-Mm,9.66957,4.95867,1.4896,1.181,1.7495,0.3517,1.2638,6.7834,3.7042,3.977,5.1326,M,m,y,A
B-Hh,26.46285,4.248,0.1469,0.2486,0.965,0.1536,0.7032,2.0806,0.3147,0.2055,0.3008,H,h,y,B
B-Hl,5.11461,3.89067,0.0432,0.1939,0.7374,0.1127,0.6812,1.2332,0.1047,0.0654,0.0893,H,l,y,B
B-Hm,21.93264,4.03733,0.1265,0.239,1.0595,0.1254,0.686,2.329,0.329,0.1761,0.2928,H,m,y,B
B-Lh,10.68617,5.69467,0.4027,0.3194,1.1697,0.104,0.8685,3.2706,0.4241,1.3151,1.3571,L,h,y,B
B-Ll,58.53777,4.14333,0.1318,0.3831,1.477,0.2028,0.9721,4.0899,0.5781,0.2137,0.2657,L,l,y,B
B-Lm,12.75786,6.20333,0.355,0.5061,1.0638,0.2006,0.901,3.5506,0.287,0.8967,1.0254,L,m,y,B
B-Mh,31.61376,5.21,0.6159,0.9816,1.7301,0.3235,1.7944,5.0071,0.1409,1.4415,1.9505,M,h,y,B
B-Ml,104.53655,4.17733,0.1654,0.4407,1.8527,0.2555,1.129,4.5317,0.8922,0.2786,0.3756,M,l,y,B
B-Mm,35.29984,5.31867,0.3823,0.6969,2.1316,0.372,1.5997,5.5903,0.558,0.9078,1.1383,M,m,y,B
BL-Mh,127.99494,4.10533,1.95983,0.7813,2.5955,1.42496,4.10495,13.59919,1.86762,0.39057,0.65389,M,h,n,BL
BL-Ml,6.72018,4.46267,0.24012,0.1905,0.94884,0.3807,1.30811,2.72406,0.11237,0.05002,0.08503,M,l,n,BL
BL-Mm,119.81367,4.4,1.2554,0.58985,2.29065,1.0486,3.193,11.31405,1.63235,0.25975,0.41045,M,m,n,BL
